report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
2381,A near miss occurred when a safety officer was inside the space while the retrieval system was not rigged during the fire drill. The observation was attributed to no emergency rescue plan was in place.,HIGH,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
2382,The shift handover mentioned that a permit issuer found the pressure gauge reading was not recorded during the permit check. The finding cited the energy isolation control was degraded.,MEDIUM,Permit to Work,Pressure release,Energy isolation control degraded,Energy Isolation
2383,A supervisor observed that a crane operator confirmed the drop zone was clear before the load was raised while the crane was positioning the load.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
2384,a driver operated the excavator while a worker was inside the swing radius during the yard move. This was linked to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
2385,A worker reported that a chemical handler observed a worker without eye protection near the drum during chemical handling.,MEDIUM,Chemical Handling,PPE deficiency,PPE compliance issue,
2386,A near miss occurred when a worker verified that mechanical handling aids were available while lifting the heavy component.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
2387,A supervisor observed that a material handler lifted material without a toe board on the platform during the transfer. This was linked to a failure to maintain the exclusion zone.,HIGH,Material Handling,Falling object,Exclusion zone failed,
2388,a worker observed that the initial atmosphere check was recorded late while checking the ventilation. Follow-up identified the gas testing was not completed.,MEDIUM,Ventilation,Hazardous atmosphere,Gas testing not completed,Confined Space
2389,A permit review found that the spill was cleaned up promptly after being reported while clearing the workspace.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2390,A worker reported that a confined-space attendant worked in the area while the toxic-gas reading exceeded limits during the tank entry. The observation was attributed to a lapse in permit control.,HIGH,Confined Space Entry,Hazardous atmosphere,Permit control failed,Confined Space
2391,a technician noted corrosion on the pressurized line while monitoring the process line.,MEDIUM,Process Operation,Pressure release,Inspection not completed,Energy Isolation
2392,A permit review found that a lifting supervisor checked that the tag line was rigged before lifting while the load was being moved.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
2393,The shift handover mentioned that a worker handled the heavy object without a mechanical aid during the material transfer. The event traced back to the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,
2394,An inspection noted that a process operator worked in the area without respiratory protection during the release during the shift.,HIGH,Process Operation,Chemical exposure,PPE compliance issue,Toxic Gas
2395,The shift handover mentioned that noise levels were checked and controls verified while running the equipment.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
2396,A permit review found that a storekeeper noted that the scrap bin was overflowing near the work area during storage activity. Follow-up identified a previously identified corrective action was not closed out.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,
2397,a ventilation technician entered the space despite the gas monitor alarm remaining active while testing the airflow. It was noted that inadequate ventilation.,HIGH,Ventilation,Hazardous atmosphere,Ventilation inadequate,Confined Space
2398,An observation from the safety patrol noted that a scaffolder confirmed that fall protection was inspected and in place before during the scaffolding work.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
2399,a warehouse attendant found the emergency pathway partially blocked during storage activity. This was linked to a previously identified corrective action was not closed out.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,No clear Life-Saving Rule detected
2400,An observation from the safety patrol noted that an equipment operator confirmed hearing protection was used near the noisy equipment during equipment operation.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
2401,A worker reported that a ground worker started digging before the underground utilities were located during excavation. The observation was attributed to the excavation was not properly supported.,HIGH,Excavation,Utility strike,Excavation support failed,Ground Disturbance
2402,a process operator observed the drum leaking while it was being moved during the shift. The observation was attributed to a PPE compliance issue.,HIGH,Process Operation,Chemical exposure,PPE compliance issue,Toxic Gas
2403,An inspection noted that a crane operator observed the load swaying while the tag line was not used while the crane was positioning the load. This was linked to the lifting inspection was not completed.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
2404,a worker checked that the gas detector was calibrated before the entry during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
2405,An inspection noted that a spotter walked into the path of the moving vehicle while the truck was moving.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
2406,A permit review found that an electrical supervisor flagged that the residual charge was not discharged during electrical maintenance. The event traced back to the energy isolation control was degraded.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
2407,An inspection noted that a scaffolder verified the edge protection was intact during during elevated maintenance.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
2408,An observation from the safety patrol noted that a fitter entered the machine danger zone without isolation during the mechanical repair. The finding cited the energy isolation was not applied.,HIGH,Mechanical Maintenance,Entanglement,Energy isolation failed,Line of Fire
2409,A near miss occurred when a chemical handler noted the secondary containment was partly occupied during drum handling. This was linked to inadequate housekeeping controls.,MEDIUM,Chemical Handling,Chemical exposure,Housekeeping control inadequate,Toxic Gas
2410,"During the walk-down, an operator verified the circuit was dead before starting work while servicing the machine.",LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
2411,"During the walk-down, an operator climbed the access ladder without attaching the safety harness during elevated maintenance. The finding cited edge protection was missing.",HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
2412,A worker reported that a lifting supervisor observed the load swaying while the tag line was not used during the critical lift. The finding cited the lifting inspection was not completed.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
2413,A near miss occurred when an excavator operator verified the trench support before entry during excavation.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
2414,a warehouse attendant found waste material blocking the aisle while stacking the materials.,MEDIUM,Storage,Poor housekeeping condition,Housekeeping control inadequate,No clear Life-Saving Rule detected
2415,The shift handover mentioned that a machine operator observed the safety clutch fail during during machine operation.,HIGH,Machine Operation,Equipment failure,Guarding failed,Energy Isolation
2416,An inspection noted that an electrical supervisor verified the circuit was dead before starting work during electrical maintenance.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
2417,A permit review found that a technician started the tank entry with no gas detector available while entering the chamber. Follow-up identified gas testing had not been performed before the task.,HIGH,Confined Space Entry,Hazardous atmosphere,Gas testing absent,Confined Space
2418,an electrical supervisor noted the arc-flash boundary was not marked during circuit repair. The event traced back to the energy isolation control was degraded.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
2419,The shift handover mentioned that a ventilation technician verified the atmospheric readings were within safe limits before during ventilation verification.,LOW,Ventilation,Hazardous atmosphere,No barrier failure / control effective,Confined Space
2420,an operator flagged that the machine noise exceeded limits during equipment operation. The observation was attributed to inadequate ventilation.,MEDIUM,Equipment Operation,Noise exposure,Ventilation inadequate,No clear Life-Saving Rule detected
2421,The shift handover mentioned that a responder began work although the rescue plan was not established during the emergency drill. It was noted that no emergency rescue plan was in place.,HIGH,Emergency Response,Delayed rescue,Emergency/rescue plan absent,Confined Space
2422,An observation from the safety patrol noted that a lifting supervisor verified the rigging was inspected for the lift while the load was being moved.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
2423,A worker reported that a maintenance technician re-energized the equipment without clearing the work party during the repair job. The observation was attributed to the energy isolation was not applied.,HIGH,Maintenance,Unexpected startup,Energy isolation failed,Energy Isolation
2424,a safety officer performed the task without the required gloves during the PPE inspection. It was noted that degraded equipment condition.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,No clear Life-Saving Rule detected
2425,A permit review found that a crane operator verified the rigging was inspected for the lift while the crane was positioning the load.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
2426,"During the walk-down, a safety officer was inside the space while the retrieval system was not rigged while managing the incident. This was linked to no emergency rescue plan was in place.",HIGH,Emergency Response,Delayed rescue,Emergency/rescue plan absent,Confined Space
2427,"During the walk-down, a chemical technician flagged that the vent valve was not opened before the task while maintaining the reactor. The finding cited the energy isolation control was degraded.",MEDIUM,Chemical Maintenance,Pressure release,Energy isolation control degraded,Energy Isolation
2428,An inspection noted that a material handler confirmed all tools were tethered before during material handling.,LOW,Material Handling,Falling object,No barrier failure / control effective,
2429,A worker reported that an inspector disconnected the line while pressure remained in it during the scheduled inspection. The observation was attributed to a lapse in permit control.,HIGH,Equipment Inspection,Pressure release,Permit control failed,Energy Isolation
2430,The shift handover mentioned that an auditor reported an incomplete edge-protection section during the control check.,MEDIUM,Safety Verification,Fall from height,Inspection not completed,Working at Height
2431,a maintenance fitter confirmed the chemical was stored in the correct container during chemical maintenance.,LOW,Chemical Maintenance,Chemical exposure,No barrier failure / control effective,Toxic Gas
2432,A near miss occurred when a worker handled the heavy object without a mechanical aid during the material transfer. The finding cited a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
2433,a worker started hot work while combustible material remained nearby while welding. The observation was attributed to combustible materials were not controlled.,HIGH,Hot Work,Fire or explosion,Combustible control failed,Hot Work
2434,an excavator operator confirmed the utilities were marked before digging during the excavation work.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
2435,an auditor started elevated work although the isolation register had no edge protection during the field verification. The finding cited edge protection was missing.,HIGH,Safety Verification,Fall from height,Edge protection absent,Working at Height
2436,A near miss occurred when a worker flagged abnormal vibration from the equipment during the repair. Follow-up identified the required inspection was not completed.,MEDIUM,Hand Tools,Equipment failure,Inspection not completed,
2437,The inspection certificate was verified before use during equipment inspection.,LOW,Equipment Inspection,Equipment failure,No barrier failure / control effective,
2438,A supervisor observed that a ventilation technician flagged that the machine noise exceeded limits during the confined-space prep. The finding cited a PPE compliance issue.,MEDIUM,Ventilation,Noise exposure,PPE compliance issue,
2439,a material handler worked below the platform while material was being handled above while moving the materials. It was noted that inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
2440,an operator verified that mechanical handling aids were available during manual handling.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
2441,a supervisor found waste material blocking the aisle during worksite setup. Follow-up identified inadequate housekeeping controls.,MEDIUM,Worksite Control,Poor housekeeping condition,Housekeeping control inadequate,
2442,an operator confirmed hearing protection was used near the noisy equipment while running the equipment.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
2443,A worker reported that a worker drove through the pedestrian crossing without stopping while the vehicle was reversing. Follow-up identified the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
2444,"During the walk-down, a safety officer observed the safety clutch fail during during the inspection. This was linked to the required inspection was not completed.",HIGH,Inspection,Equipment failure,Inspection not completed,
2445,A supervisor observed that a mechanic found the restart procedure was not followed during equipment maintenance. Follow-up identified the energy isolation control was degraded.,MEDIUM,Equipment Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
2446,A permit review found that a worker confirmed the drain was clear in the work area in the common work area.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2447,a technician worked beside an open edge while the guardrail was absent while working at height. Follow-up identified a failure of safe access controls.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
2448,a process operator flagged that the vent valve was not opened before the task while the process unit was running. Follow-up identified the required inspection was not completed.,MEDIUM,Process Operation,Pressure release,Inspection not completed,Energy Isolation
2449,A worker reported that combustible materials were cleared from the hot work zone during the fire drill.,LOW,Fire Safety,Fire or explosion,No barrier failure / control effective,Hot Work
2450,a worker found water pooling on the walkway while clearing the workspace.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
2451,A permit review found that a confined-space attendant entered the space despite the gas monitor alarm remaining active while entering the vessel.,HIGH,Confined Space Entry,Hazardous atmosphere,Permit control failed,Confined Space
2452,a technician confirmed all tools were tethered before while working with the tool kit.,LOW,Hand Tools,Falling object,No barrier failure / control effective,
2453,A near miss occurred when an operator opened the chemical line without confirming isolation while moving the containers. The event traced back to inadequate ventilation.,HIGH,Chemical Handling,Chemical exposure,Ventilation inadequate,Toxic Gas
2454,"During the walk-down, a worker used the elevated work platform although the fall protection showed signs of damage while working at height. This was linked to the fall protection control was degraded.",MEDIUM,Work at Height,Fall from height,Fall protection control degraded,Working at Height
2455,a technician confirmed the voltage test was completed before the repair while working on the panel.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
2456,a responder was inside the space while the retrieval system was not rigged during emergency response.,HIGH,Emergency Response,Delayed rescue,Emergency/rescue plan absent,Confined Space
2457,A supervisor observed that a technician handled the heavy object without a mechanical aid during manual handling. The finding cited the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,
2458,"During the walk-down, the excavation permit and utility survey were reviewed during the excavation work.",LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
2459,A permit review found that a fitter worked close to the moving parts without guarding during mechanical maintenance. The event traced back to the energy isolation was not applied.,HIGH,Mechanical Maintenance,Entanglement,Energy isolation failed,Line of Fire
2460,a machine operator found the brake on the machine worn beyond limit while the machine was running. The finding cited degraded equipment condition.,MEDIUM,Machine Operation,Equipment failure,Equipment condition degraded,Energy Isolation
2461,a worker verified the atmospheric readings were within safe limits before while entering the vessel.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
2462,a technician noted that the enclosure around the unit was incomplete while running the equipment. This was linked to a PPE compliance issue.,MEDIUM,Equipment Operation,Noise exposure,PPE compliance issue,
2463,"During the walk-down, an operator started the tank entry with no gas detector available while assessing the release. Follow-up identified gas testing had not been performed before the task.",HIGH,Gas Leak Response,Hazardous atmosphere,Gas testing absent,Toxic Gas
2464,PPE was issued and inspected before the task while moving the containers.,LOW,Chemical Handling,PPE deficiency,No barrier failure / control effective,
2465,a safety officer observed the safety clutch fail during during the audit. The event traced back to the required inspection was not completed.,HIGH,Inspection,Equipment failure,Inspection not completed,
2466,an entrant reported that the ventilation in the confined space was running below capacity during confined-space entry.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Communication/handover failed,Confined Space
2467,The shift handover mentioned that a maintenance technician checked the energy-isolation register before the start while servicing the machine.,LOW,Equipment Maintenance,Unexpected startup,No barrier failure / control effective,Energy Isolation
2468,a scaffolder moved along the edge of the platform with no fall-arrest system in use during the scaffolding work. It was noted that edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
2469,a welder observed residual flammable vapors near the work zone during hot work.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
2470,A worker reported that an operator confirmed hearing protection was used near the noisy equipment during equipment operation.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
2471,a technician reached into the cabinet while the busbar remained energized during electrical maintenance. This was linked to a lapse in permit control.,HIGH,Electrical Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
2472,an entrant reported that the ventilation in the chamber was running below capacity while entering the vessel. It was noted that a failure in communication or handover.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Communication/handover failed,Confined Space
2473,An observation from the safety patrol noted that a technician used the approved anchor point when working while accessing the upper platform.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
2474,A near miss occurred when an operator re-energized the equipment without clearing the work party while the unit was down. The finding cited the energy isolation was not applied.,HIGH,Equipment Maintenance,Unexpected startup,Energy isolation failed,Energy Isolation
2475,a fire warden flagged that the fire extinguisher was not immediately accessible during the fire drill. Follow-up identified the combustible material control was degraded.,MEDIUM,Fire Safety,Fire or explosion,Combustible control degraded,Hot Work
2476,A near miss occurred when a technician verified zero pressure before disconnecting during the shift.,LOW,Process Operation,Pressure release,No barrier failure / control effective,Energy Isolation
2477,"During the walk-down, a worker reported a slippery surface near the common area during the shift cleanup. This was linked to a previously identified corrective action was not closed out.",MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
2478,a lifting supervisor entered the exclusion zone while the load was being lifted during the lifting operation. This was linked to a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
2479,A worker reported that a technician verified the edge protection was intact during while working at height.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
2480,A supervisor observed that a chemical technician opened the chemical line without confirming isolation while maintaining the reactor. Follow-up identified inadequate ventilation.,HIGH,Chemical Maintenance,Chemical exposure,Ventilation inadequate,Toxic Gas
2481,An observation from the safety patrol noted that a worker was not wearing the respirator in the dusty area during the grinding operation. The observation was attributed to a PPE compliance issue.,MEDIUM,Hot Work,PPE deficiency,PPE compliance issue,
2482,a technician confirmed the required PPE was worn throughout during leak investigation.,LOW,Gas Leak Response,PPE deficiency,No barrier failure / control effective,
2483,The shift handover mentioned that a worker entered the chamber before gas testing was carried out while entering the vessel. It was noted that inadequate ventilation.,HIGH,Confined Space Entry,Hazardous atmosphere,Ventilation inadequate,Confined Space
2484,The shift handover mentioned that a rigger noted the barricade around the lift area was incomplete during the critical lift. This was linked to the lifting inspection was not completed.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
2485,An observation from the safety patrol noted that the toe boards were verified on the platform during the repair.,LOW,Hand Tools,Falling object,No barrier failure / control effective,
2486,a worker worked in the area while the toxic-gas reading exceeded limits while entering the vessel. The event traced back to gas testing had not been performed before the task.,HIGH,Confined Space Entry,Hazardous atmosphere,Gas testing absent,Confined Space
2487,A supervisor observed that a driver observed the vehicle passing close to the walkway during vehicle movement. Follow-up identified the traffic segregation control was degraded.,MEDIUM,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation control degraded,Line of Fire
2488,an operator checked that the containment was intact before the transfer while moving the containers.,LOW,Chemical Handling,Chemical exposure,No barrier failure / control effective,Toxic Gas
2489,The shift handover mentioned that a scaffolder worked beside an open edge while the guardrail was absent during elevated maintenance.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
2490,A worker reported that a rigger found that the load weight was not confirmed before the lift during the critical lift. This was linked to the lifting inspection was not completed.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
2491,The shift handover mentioned that a worker confirmed the fire watch and extinguishers were in place before during the grinding operation.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
2492,A permit review found that an entrant entered the tank interior before gas testing was carried out while entering the chamber.,HIGH,Confined Space Entry,Hazardous atmosphere,Permit control failed,Confined Space
2493,an inspector found the tool handle cracked during the task during the safety inspection. The finding cited the required inspection was not completed.,MEDIUM,Inspection,Equipment failure,Inspection not completed,
2494,A worker reported that a technician confirmed the ventilation remained operational throughout while entering the vessel.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
2495,a first responder entered the response zone with no attendant present during the emergency drill. The finding cited no emergency rescue plan was in place.,HIGH,Emergency Response,Delayed rescue,Emergency/rescue plan absent,Confined Space
2496,"During the walk-down, a craftsman noticed loose parts on the elevated walkway during the repair. Follow-up identified inadequate housekeeping controls.",MEDIUM,Hand Tools,Falling object,Housekeeping control inadequate,
2497,a process operator checked that the containment was intact before the transfer while the process unit was running.,LOW,Process Operation,Chemical exposure,No barrier failure / control effective,Toxic Gas
2498,An inspection noted that a worker entered the vessel with no attendant present while entering the chamber.,HIGH,Confined Space Entry,Delayed rescue,Emergency/rescue plan absent,Confined Space
2499,a rigger found that the load weight was not confirmed before the lift during the lifting operation.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
2500,A worker reported that a craftsman confirmed all tools were tethered before during the repair.,LOW,Hand Tools,Falling object,No barrier failure / control effective,
2501,a driver operated the excavator while a worker was inside the swing radius during vehicle movement. It was noted that the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
2502,An observation from the safety patrol noted that a technician handled the heavy object without a mechanical aid during manual handling. This was linked to a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
2503,an attendant confirmed the drain was clear in the work area during routine housekeeping rounds.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2504,A near miss occurred when a maintenance technician bypassed the interlock to keep the circuit running while the unit was down. It was noted that a lapse in permit control.,HIGH,Equipment Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
2505,"During the walk-down, a lifting supervisor found that the load weight was not confirmed before the lift while the load was being moved.",MEDIUM,Lifting Operation,Dropped load,Exclusion zone control degraded,Lifting Operations
2506,An inspection noted that the spill was cleaned up promptly after being reported in the common work area.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2507,a driver walked into the path of the moving vehicle during vehicle movement. The event traced back to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
2508,a worker noted the secondary containment was partly occupied while maintaining the reactor. Follow-up identified a PPE compliance issue.,MEDIUM,Chemical Maintenance,Chemical exposure,PPE compliance issue,Toxic Gas
2509,A permit review found that the team performed a two-person lift following procedure during the material transfer.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
2510,an electrician observed exposed conductors while the equipment was live while servicing the switchgear. The finding cited a lapse in permit control.,HIGH,Electrical Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
2511,A worker reported that a technician noticed that the scaffold toe board was loose while accessing the upper platform. The finding cited the required inspection was not completed.,MEDIUM,Work at Height,Fall from height,Inspection not completed,Working at Height
2512,The shift handover mentioned that a supervisor verified the trench support before entry while working in the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
2513,An inspection noted that a machine operator worked close to the moving parts without guarding during machine operation. The event traced back to the energy isolation was not applied.,HIGH,Machine Operation,Entanglement,Energy isolation failed,Line of Fire
2514,a worker observed chemical vapors near the open container while servicing the chemical line. The observation was attributed to inadequate housekeeping controls.,MEDIUM,Chemical Maintenance,Chemical exposure,Housekeeping control inadequate,Toxic Gas
2515,A near miss occurred when pPE was issued and inspected before the task during drum handling.,LOW,Chemical Handling,PPE deficiency,No barrier failure / control effective,
2516,The shift handover mentioned that a technician opened the chemical line without confirming isolation while the process unit was running. The event traced back to inadequate ventilation.,HIGH,Process Operation,Chemical exposure,Ventilation inadequate,Toxic Gas
2517,An observation from the safety patrol noted that an operator found the chemical container unlabeled while transferring the chemical.,MEDIUM,Chemical Handling,Chemical exposure,PPE compliance issue,Toxic Gas
2518,A supervisor observed that a rigger confirmed the drop zone was clear before the load was raised during the critical lift.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
2519,A near miss occurred when an engineer started elevated work although the equipment had no edge protection during the inspection.,HIGH,Inspection,Fall from height,Fall protection absent,Working at Height
2520,a warehouse worker flagged that the SDS was not available at the work point while moving the containers. The observation was attributed to inadequate housekeeping controls.,MEDIUM,Chemical Handling,Chemical exposure,Housekeeping control inadequate,Toxic Gas
2521,An observation from the safety patrol noted that an attendant verified the walkway was clear after the task while clearing the workspace.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2522,a driver moved the vehicle while the spotter had not cleared the route during vehicle movement. The finding cited the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
2523,An observation from the safety patrol noted that a fitter found the restart procedure was not followed while the equipment was being worked on. It was noted that the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
2524,A supervisor observed that pPE was issued and inspected before the task during drum handling.,LOW,Chemical Handling,PPE deficiency,No barrier failure / control effective,
2525,a safety officer observed a worker without eye protection near the gloves while preparing for the task. Follow-up identified a PPE compliance issue.,MEDIUM,PPE,PPE deficiency,PPE compliance issue,No clear Life-Saving Rule detected
2526,An observation from the safety patrol noted that a chemical handler transferred the chemical while the containment bund was damaged during drum handling. The event traced back to a PPE compliance issue.,HIGH,Chemical Handling,Chemical exposure,PPE compliance issue,Toxic Gas
2527,A worker reported that a worker checked that the gas detector was calibrated before the entry during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
2528,an attendant found water pooling on the walkway during routine housekeeping rounds. The observation was attributed to a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
2529,A permit review found that a craftsman left tools unsecured on the tool kit during the repair. The observation was attributed to a failure to maintain the exclusion zone.,HIGH,Hand Tools,Falling object,Exclusion zone failed,
2530,an operator used a lift assist for the heavy load during the material transfer.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
2531,a technician observed the safety clutch fail during while operating the press. The observation was attributed to a failure of the machine guarding.,HIGH,Machine Operation,Equipment failure,Guarding failed,Energy Isolation
2532,a mechanic noted the pinch point was exposed during the task while working on the drive. Follow-up identified the required inspection was not completed.,MEDIUM,Mechanical Maintenance,Entanglement,Inspection not completed,Line of Fire
2533,A permit review found that pPE was issued and inspected before the task while preparing for the task.,LOW,PPE,PPE deficiency,No barrier failure / control effective,
2534,The shift handover mentioned that a worker observed the crane load passing directly over personnel while the crane was positioning the load.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
2535,An inspection noted that a panel operator found the chemical container unlabeled during the shift. Follow-up identified inadequate housekeeping controls.,MEDIUM,Process Operation,Chemical exposure,Housekeeping control inadequate,Toxic Gas
2536,a ground worker verified the trench support before entry while working in the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
2537,An inspection noted that an operator climbed the elevated work platform without attaching the safety harness while working at height. The event traced back to fall protection was not in place.,HIGH,Work at Height,Fall from height,Fall protection absent,Working at Height
2538,a supervisor was not wearing the respirator in the dusty area during the shift. This was linked to degraded equipment condition.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,
2539,An inspection noted that the equipment was verified as isolated before during the maintenance shutdown.,LOW,Maintenance,Unexpected startup,No barrier failure / control effective,Energy Isolation
2540,The shift handover mentioned that a storekeeper found waste material blocking the aisle during the warehouse operation. The observation was attributed to inadequate housekeeping controls.,MEDIUM,Storage,Poor housekeeping condition,Housekeeping control inadequate,
2541,a safety officer verified that spare PPE was available at the worksite while checking PPE compliance.,LOW,PPE,PPE deficiency,No barrier failure / control effective,
2542,a worker started grinding beside an open chemical container while welding. It was noted that combustible materials were not controlled.,HIGH,Hot Work,Fire or explosion,Combustible control failed,Hot Work
2543,a storekeeper found the emergency pathway partially blocked during storage activity.,MEDIUM,Storage,Poor housekeeping condition,Housekeeping control inadequate,
2544,A supervisor observed that an authorized worker observed the relief valve fail during the pressure test while reviewing the work permit. This was linked to the energy isolation was not applied.,HIGH,Permit to Work,Pressure release,Energy isolation failed,Energy Isolation
2545,A worker reported that a worker confirmed the drain was clear in the work area in the common work area.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
2546,a worker opened the vessel while the ventilation was not running during confined-space entry. Follow-up identified gas testing had not been performed before the task.,HIGH,Confined Space Entry,Hazardous atmosphere,Gas testing absent,Confined Space
2547,A supervisor observed that an operator reported an incomplete edge-protection section during the scaffolding work. Follow-up identified the fall protection control was degraded.,MEDIUM,Work at Height,Fall from height,Fall protection control degraded,Working at Height
2548,PPE was issued and inspected before the task during drum handling.,LOW,Chemical Handling,PPE deficiency,No barrier failure / control effective,
2549,An inspection noted that an authorized worker removed the flange cover while the system was still pressurized while reviewing the work permit. The finding cited the energy isolation was not applied.,HIGH,Permit to Work,Pressure release,Energy isolation failed,Energy Isolation
2550,"During the walk-down, a chemical handler noted the secondary containment was partly occupied during chemical handling. The event traced back to a PPE compliance issue.",MEDIUM,Chemical Handling,Chemical exposure,PPE compliance issue,Toxic Gas
2551,a technician confirmed that the platform had adequate edge protection during elevated maintenance.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
2552,a worker lifted the load above shoulder height repeatedly while lifting the heavy component. It was noted that a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
